BA LMT GM TM JWN FOX CBS TWX NWS DISCA SNI
141 244 31 114 50 25 55 87 12 24 62
140 244 31 113 50 25 55 87 12 24 62
139 237 30 112 50 26 55 86 12 25 63
138 236 30 110 50 26 56 86 12 25 64
141 237 31 111 51 26 57 86 12 25 64
141 238 31 112 51 26 57 87 11 25 65
141 250 30 110 50 26 56 85 11 24 63
146 252 30 109 53 26 57 85 12 25 65
146 255 32 111 55 26 56 85 12 25 65
148 260 33 111 59 26 57 86 12 26 68
147 261 33 111 57 27 58 86 12 27 70
146 261 33 112 57 27 58 88 12 27 70
145 262 32 112 57 27 59 89 12 27 70
144 261 32 113 56 27 59 90 12 27 69
146 262 32 114 57 27 59 91 12 27 69
147 263 32 113 57 27 60 91 11 27 68
149 263 33 113 57 28 59 92 11 27 69
149 264 33 117 57 28 59 92 12 27 69
148 264 33 117 55 27 60 92 12 26 69
149 263 33 117 55 28 60 92 11 27 68
150 265 34 118 55 27 60 91 11 27 69
150 264 34 117 55 27 60 91 11 27 68
151 266 35 116 55 27 59 93 12 26 68
151 266 34 117 56 26 60 93 11 26 68
150 264 34 117 56 27 60 93 11 27 68
151 264 35 119 57 27 60 93 12 27 69
154 258 36 122 59 27 63 93 12 28 72
155 258 36 122 59 27 62 94 12 28 70
154 245 37 121 58 25 59 94 12 27 69
154 250 36 122 57 26 62 94 12 28 70
154 252 35 120 56 26 63 94 12 28 71
153 250 35 121 55 27 63 94 11 28 70
153 249 36 120 50 27 64 94 11 28 70
155 249 36 121 50 27 64 94 11 28 70
155 252 36 121 50 27 64 95 11 28 70
156 252 36 121 51 27 64 95 11 28 71
156 251 35 120 48 27 64 95 11 27 71
156 247 35 120 48 27 64 95 12 27 72
156 250 35 119 48 27 64 96 12 27 72
156 248 35 118 48 27 64 96 12 27 71
155 249 35 116 47 27 64 96 11 27 71
154 248 34 116 47 27 63 96 11 27 70
155 250 34 117 47 27 63 96 11 27 71
157 253 35 120 47 28 64 96 12 27 72
157 254 36 120 44 27 65 93 12 27 73
157 255 35 119 45 28 64 94 12 27 74
158 257 35 119 45 28 63 93 12 26 73
158 256 36 118 44 28 62 93 12 26 73
158 251 37 119 44 28 62 92 12 26 73
156 251 37 118 44 28 61 93 12 26 74
158 252 37 119 44 28 62 93 12 27 74
157 252 37 118 43 29 61 93 12 27 74
156 252 37 118 42 29 62 94 12 27 74
157 255 37 118 42 29 62 94 12 27 73
158 256 36 118 42 29 62 95 12 27 73
157 255 36 117 43 29 62 95 12 27 73
157 249 36 116 44 29 62 95 12 28 73
163 248 37 118 44 29 62 95 12 27 74
167 249 37 118 44 29 62 95 12 27 74
167 250 36 116 42 30 63 95 12 27 75
163 251 36 115 42 30 63 95 12 27 75
163 249 36 115 42 30 63 96 12 27 75
163 249 35 115 43 30 64 96 12 27 75
160 250 35 113 42 30 64 95 12 27 75
162 251 35 114 43 30 63 95 12 27 75
162 254 36 112 42 30 64 95 12 27 75
164 255 34 112 42 29 64 96 12 27 75
163 256 34 112 42 29 63 96 12 27 74
164 256 35 111 44 29 63 96 12 27 73
164 258 35 112 44 29 64 96 12 27 77
166 261 35 113 43 29 64 95 13 28 77
167 261 36 113 44 29 64 95 13 27 76
168 261 36 113 45 29 65 95 13 28 76
168 262 36 113 44 29 64 96 13 28 76
170 263 36 112 44 29 64 96 13 28 75
173 264 37 113 45 29 65 96 13 28 75
174 264 37 114 44 29 67 96 13 29 81
175 263 37 114 43 29 66 95 13 29 81
176 263 36 113 44 29 65 96 13 29 80
177 264 36 113 46 29 66 96 13 28 80
179 266 36 112 46 29 65 97 13 28 80
181 267 37 114 44 29 66 98 13 28 79
182 266 37 113 45 29 66 98 13 27 78
181 266 37 113 45 29 66 98 13 27 77
180 266 37 112 44 29 67 97 13 27 77
180 267 37 112 43 29 67 97 12 27 77
181 267 37 111 44 29 67 98 12 27 77
179 267 36 111 44 30 67 98 12 27 77
177 267 36 112 44 29 67 98 12 27 78
177 268 36 113 43 29 67 98 12 27 78
177 267 36 112 43 29 67 98 12 27 78
177 267 36 112 43 29 67 98 12 27 78
177 267 36 113 43 30 67 98 12 27 79
178 268 36 112 43 30 66 98 12 27 78
179 271 35 111 42 30 66 98 12 27 78
175 268 34 111 40 30 65 97 12 27 78
175 267 33 110 40 30 65 96 12 27 77
176 268 33 110 41 30 66 96 12 27 77
174 266 34 110 41 30 66 97 12 27 77
173 264 33 110 41 30 66 96 12 27 77
175 266 34 111 42 31 66 96 12 27 77
176 267 35 110 43 31 67 97 13 27 77
177 268 35 109 45 31 68 97 13 28 78
176 267 35 108 46 31 68 97 13 28 78
175 267 33 107 45 31 68 97 13 28 77
176 268 33 107 43 31 68 97 13 28 77
176 266 33 106 43 30 69 98 12 29 77
177 266 33 105 43 30 68 98 12 29 76
177 268 33 105 44 30 68 98 12 29 76
